,Unix_time,hv_qber,pm_qber,qber,Additional_data
38,1742048397.2313836,0.658602147962455,0.7471690538175464,0.7042792004181889,"[-4522, 3405, 4025, -3535]"
39,1742048397.6159859,0.0713515841470952,0.10815324148030928,0.09161924525720044,"[-4974, -2542, -529, 2674]"
40,1742048398.0209289,0.4208124128861254,0.6311898034731943,0.536415722573254,"[-2096, -4350, -2046, 1473]"
41,1742048398.398366,0.4893715323867965,0.7184513829676661,0.6146775115451815,"[-2223, -1068, 407, -2357]"
42,1742048398.7889466,0.1442960362801102,0.8833350081330222,0.6328910185330161,"[418, 1983, -271, 1933]"
43,1742048399.1656406,0.6053604413849891,0.5741271873023406,0.589950545043195,"[-2140, 136, -3006, 3810]"
44,1742048399.5399892,0.38796357845715806,0.15415444746173307,0.2951942850746908,"[3593, 2071, 687, -1280]"
45,1742048399.9229162,0.7078327699843046,0.6269946122540996,0.6686364759939896,"[-4325, -823, -3344, 363]"
46,1742048400.3232534,0.2872827070913716,0.9449897735051292,0.6984042618079525,"[2962, -1918, 4629, 1030]"
47,1742048400.6777472,0.8551707402076213,0.10081823479319192,0.6088847638815025,"[3621, -4892, -290, 356]"
48,1742048401.0622869,0.5775312699455982,0.8427308733634364,0.7224049047054137,"[-218, 1300, 2615, 4951]"
49,1742048401.441624,0.5775312699455982,0.3957597167407669,0.49505965355687553,"[-3553, 3163, 4088, 4747]"
50,1742048401.8406327,0.5109041326273361,0.3416943192009458,0.43461364480989806,"[4770, -1389, -4759, 2484]"
51,1742048402.217441,0.6699791978676072,0.7477910092350165,0.7099519417073408,"[-2487, -4525, -830, 3116]"
52,1742048402.5749896,0.01075037622618662,0.3253607427153814,0.2301903380784141,"[-939, -4155, -1846, 4342]"
53,1742048402.9652202,0.7448793782345811,0.9093228641266767,0.8311778868998736,"[129, -3654, 2817, -4972]"
54,1742048403.3711853,0.599861939807227,0.5147663186240791,0.5589359129717271,"[-2850, -4283, -1794, 4528]"
55,1742048403.7523715,0.9030686764614956,0.5823929861682097,0.7598403203120514,"[-5000, -4315, -1033, -1512]"
